year,sex,age,pop
2001,Males,50,1198421.296875
2001,Males,55,1068787.96875
2001,Males,60,896683.78125
2001,Males,65,972973.734375
2001,Males,70,817635.25
2001,Males,75,591726.703125
2001,Males,80,311239.4375
2001,Males,85,149909.31250000003
2001,Males,90,50488.96875
2001,Males,95,9790.171875
2002,Females,0,199456.629125
2002,Females,1,562453.560721
2002,Females,5,930961.4997430001
2002,Females,10,1025104.1891
2002,Females,15,1184421.077491
2002,Females,20,1545756.6402859997
2002,Females,25,1749533.356038
2002,Females,30,1695487.651173
2002,Females,35,1671867.077928
2002,Females,40,1548790.5579360002
2002,Females,45,1347004.8496400001
2002,Females,50,1248908.911138
2002,Females,55,1164932.945485
2002,Females,60,957209.89222
2002,Females,65,1105958.064407
2002,Females,70,1034805.754034
2002,Females,75,850714.1265060001
2002,Females,80,577860.3838419999
2002,Females,85,328077.355351
2002,Females,90,134838.58634
2002,Females,95,33567.404428
2002,Males,0,210071.64838400003
2002,Males,1,593696.491232
2002,Males,5,981895.314744
2002,Males,10,1083301.1825340001
2002,Males,15,1247538.9406
2002,Males,20,1624397.843046
2002,Males,25,1840134.602391
2002,Males,30,1766067.658925
2002,Males,35,1702503.0556050001
2002,Males,40,1549759.8338839998
2002,Males,45,1335782.141662
2002,Males,50,1223173.135212
2002,Males,55,1113405.033747
2002,Males,60,884837.4167510001
2002,Males,65,965588.916952
2002,Males,70,838096.208536
2002,Males,75,607212.818828
2002,Males,80,336236.686747
2002,Males,85,150904.095872
2002,Males,90,52277.314071
2002,Males,95,10457.080883
2003,Females,0,207686.86856899998
2003,Females,1,590607.225782
2003,Females,5,938704.1572880001
2003,Females,10,1029162.705843
2003,Females,15,1160519.243663
2003,Females,20,1514785.9054130001
2003,Females,25,1789864.6230360002
2003,Females,30,1739067.593073
2003,Females,35,1714594.0642030002
2003,Females,40,1590283.050982
2003,Females,45,1400722.481726
2003,Females,50,1265185.4534129999
2003,Females,55,1207906.471589
2003,Females,60,985637.79412
2003,Females,65,1069685.992074
2003,Females,70,1056335.8379560001
2003,Females,75,868787.9540639999
2003,Females,80,611215.422897
2003,Females,85,335450.00691199995
2003,Females,90,141359.71873
